timestamp_ny,open,high,low,close,volume,vwap,ret_5m,logret_5m
2024-01-02 09:30:00-05:00,472.16,472.8,472.05,472.67,3296028.0,473.1231453267994,,
2024-01-02 09:35:00-05:00,472.67,472.74,471.88,471.92,1702267.0,472.3501554249128,-0.0015867307000655417,-0.0015879908904548046
2024-01-02 09:40:00-05:00,471.92,472.1,471.71,471.8,1742326.0,471.85396231772927,-0.00025428038650621154,-0.00025431272124532
2024-01-02 09:45:00-05:00,471.79,472.09,471.39,471.39,1508728.0,471.7115814042027,-0.0008690122933446842,-0.000869390103424017
2024-01-02 09:50:00-05:00,471.395,471.95,471.36,471.42,1544082.0,471.630575043942,6.364157067406673e-05,6.363954563504137e-05
2024-01-02 09:55:00-05:00,471.425,472.2701,471.39,472.27,2137504.0,472.51297137666177,0.0018030630859955377,0.0018014395190517618
2024-01-02 10:00:00-05:00,472.275,472.71,472.135,472.556,1132982.0,472.4647107306206,0.0006055857877909077,0.0006054024947141912
2024-01-02 10:05:00-05:00,472.56,472.57,471.98,472.29,913364.0,472.28149286910804,-0.0005628962493333667,-0.0005630547349042558
2024-01-02 10:10:00-05:00,472.3,472.46,472.01,472.1199,1030867.0,472.9759615760326,-0.0003601600711428121,-0.0003602249443579453
2024-01-02 10:15:00-05:00,472.12,472.3,471.96,472.06,821442.0,472.09294413957406,-0.00012687455029958272,-0.00012688259955595527
2024-01-02 10:20:00-05:00,472.06,472.42,472.02,472.225,823805.0,472.25453887024236,0.0003495318391730784,0.00034947076714964
2024-01-02 10:25:00-05:00,472.23,472.34,471.59,471.76,1087290.0,471.8803433112601,-0.0009847000899995129,-0.0009851852256339555
2024-01-02 10:30:00-05:00,471.77,471.77,471.4,471.515,1032020.0,471.51447424856104,-0.000519331863659489,-0.000519466763159393
2024-01-02 10:35:00-05:00,471.515,471.55,471.3,471.515,766950.0,471.43899858256736,0.0,0.0
2024-01-02 10:40:00-05:00,471.51,471.96,471.48,471.8601,796095.0,471.66246817415004,0.0007318961220745823,0.0007316284167213638
2024-01-02 10:45:00-05:00,471.87,472.07,471.56,471.67,625709.0,471.7832876138908,-0.0004028736483545625,-0.0004029548237456382
2024-01-02 10:50:00-05:00,471.6698,471.89,471.6,471.7,524236.0,471.7322354929841,6.36037907859599e-05,6.360176815078944e-05
2024-01-02 10:55:00-05:00,471.7,471.7809,471.4701,471.68,520547.0,471.635374381564,-4.239983040066342e-05,-4.24007292991746e-05
2024-01-02 11:00:00-05:00,471.67,472.15,471.63,472.105,710420.0,471.86561914416825,0.0009010345997286784,0.0009006289117285959
2024-01-02 11:05:00-05:00,472.1,472.205,471.78,472.1812,576489.0,471.98202513439117,0.00016140477224335648,0.0001613917478939797
2024-01-02 11:10:00-05:00,472.1875,472.45,471.96,472.16,714697.0,472.2334628151511,-4.489801796425663e-05,-4.4899025910538626e-05
2024-01-02 11:15:00-05:00,472.16,472.3875,472.07,472.22,635746.0,472.23311703950947,0.0001270755676041624,0.00012706749418889274
2024-01-02 11:20:00-05:00,472.21,472.3205,471.98,472.085,1011402.0,473.65935111291054,-0.00028588369827631244,-0.0002859245708108915
2024-01-02 11:25:00-05:00,472.1,472.35,472.02,472.335,549812.0,472.16945607735005,0.0005295656502537494,0.0005294254798489106
2024-01-02 11:30:00-05:00,472.32,472.63,472.27,472.6,660591.0,472.47527847866536,0.0005610424804429748,0.0005608851549512295
2024-01-02 11:35:00-05:00,472.6,472.63,472.39,472.43,657786.0,473.5233260619715,-0.0003597122302159139,-0.00035977694217859124
2024-01-02 11:40:00-05:00,472.42,472.67,472.37,472.665,471901.0,472.50053215335424,0.0004974281904197575,0.0004973045140292953
2024-01-02 11:45:00-05:00,472.66,473.16,472.61,473.0999,1103067.0,473.45626154966106,0.00092010197497161,0.000919678940618951
2024-01-02 11:50:00-05:00,473.095,473.15,472.86,473.021,698922.0,473.05101105173395,-0.00016677238781914738,-0.00016678629588007254
2024-01-02 11:55:00-05:00,473.03,473.29,473.0,473.185,531869.0,473.13590400361744,0.0003467076514573897,0.00034664756224866977
2024-01-02 12:00:00-05:00,473.19,473.355,473.14,473.23,386093.0,473.2389048716242,9.510022507064342e-05,9.509570333054995e-05
2024-01-02 12:05:00-05:00,473.21,473.29,473.11,473.185,423148.0,473.21868483911067,-9.50911818777822e-05,-9.509570333054995e-05
2024-01-02 12:10:00-05:00,473.17,473.36,473.14,473.26,1698871.0,474.08815676075466,0.00015850037511744297,0.0001584878152600666
2024-01-02 12:15:00-05:00,473.26,473.26,472.77,473.02,779204.0,473.00126736194886,-0.0005071208215357004,-0.0005072494507887271
2024-01-02 12:20:00-05:00,473.03,473.225,472.91,473.025,898529.0,473.64918528539425,1.057037757390411e-05,1.0570321707703556e-05
2024-01-02 12:25:00-05:00,473.01,473.17,472.91,472.975,393976.0,473.0368740192296,-0.00010570265842180238,-0.00010570824534106293
2024-01-02 12:30:00-05:00,472.975,473.22,472.94,473.215,698751.0,473.83893567794536,0.0005074263967439485,0.0005072976995039724
2024-01-02 12:35:00-05:00,473.22,473.52,473.19,473.49,465718.0,473.36356644493026,0.0005811311982926171,0.00058096240694816
2024-01-02 12:40:00-05:00,473.5,473.67,473.4318,473.5,716093.0,474.1207836880126,2.1119770216904143e-05,2.1119547197301358e-05
