period_end,first,last,period_return,compound_mean_wt,final_score_wt,compound_max,compound_min,headline_count,start_date,end_date,final_score_wt_lag1
2008-09-05,92.83617401123047,90.24669647216797,-0.027892979936347317,-0.5994,-0.8991000000000001,-0.5994,-0.5994,1,2008-09-03,2008-09-03,0.0
2008-09-12,92.11082458496094,91.45802307128906,-0.007087131361740773,0.1554,0.23309999999999997,0.4404,0.0,3,2008-09-09,2008-09-11,-0.8991000000000001
2008-09-19,87.10600280761719,90.5501937866211,0.03954022533453605,0.10330000000000002,0.15494999999999998,0.7269,-0.3612,5,2008-09-15,2008-09-19,0.23309999999999997
2008-09-26,88.50020599365234,88.16460418701172,-0.0037921019829568747,0.0,0.0,0.0,0.0,2,2008-09-24,2008-09-26,0.15494999999999998
2008-10-03,81.25588989257812,80.49717712402344,-0.009337326433292659,-0.282075,-0.42590625000000004,0.0,-0.4939,4,2008-09-29,2008-10-01,0.0
2008-10-10,76.3971939086914,64.56410217285156,-0.1548890885964025,-0.1366,-0.20490000000000003,0.0,-0.2732,2,2008-10-06,2008-10-07,-0.42590625000000004
2008-10-17,73.9386215209961,68.00019073486328,-0.08031568162853153,-0.004020000000000001,-0.006030000000000002,0.3818,-0.4019,5,2008-10-13,2008-10-17,-0.20490000000000003
2008-10-24,72.0855941772461,63.49894332885742,-0.11911743180302536,-0.3186833333333333,-0.478025,0.2023,-0.6808,6,2008-10-20,2008-10-24,-0.006030000000000002
2008-10-31,61.244693756103516,70.64115905761719,0.15342496998896715,0.0,-1.850371707708594e-17,0.2732,-0.2732,3,2008-10-29,2008-10-30,-0.478025
2008-11-07,70.84539031982422,68.47441101074219,-0.0334669524492488,-0.07326666666666666,-0.12821666666666665,0.1027,-0.5423,6,2008-11-03,2008-11-07,-1.850371707708594e-17
2008-11-14,67.57706451416016,63.19254684448242,-0.06488174207032915,0.07743333333333334,0.11615000000000003,0.4767,-0.296,3,2008-11-10,2008-11-11,-0.12821666666666665
2008-11-21,62.353572845458984,58.01283645629883,-0.06961487836340208,-0.11586666666666666,-0.17379999999999998,0.0,-0.296,3,2008-11-17,2008-11-21,0.11615000000000003
2008-11-28,62.032588958740234,65.72404479980469,0.059508331072877674,0.46035000000000004,0.690525,0.7184,0.2023,2,2008-11-24,2008-11-26,-0.17379999999999998
2008-12-05,59.9023323059082,64.14827728271484,0.07088112955474801,-0.11362499999999999,-0.17043749999999996,0.2263,-0.6808,4,2008-12-01,2008-12-04,0.690525
2008-12-12,66.38793182373047,64.92155456542969,-0.022088009341731385,-0.5561333333333334,-0.8342,-0.5267,-0.5994,3,2008-12-09,2008-12-11,-0.17043749999999996
2008-12-19,64.01690673828125,64.86019134521484,0.013172842142797903,-0.31245,-0.46867500000000006,0.0,-0.6249,2,2008-12-17,2008-12-18,-0.8342
2008-12-26,64.02912139892578,64.10267639160156,0.001148774043259193,0.4019,0.60285,0.4019,0.4019,1,2008-12-24,2008-12-24,-0.46867500000000006
2009-01-02,63.9188117980957,68.36832427978516,0.06961193984244263,-0.2083,-0.31245,0.0,-0.6249,3,2008-12-30,2008-12-31,0.60285
2009-01-09,68.28743743896484,65.52210998535156,-0.04049540526520601,-0.4914,-0.7371000000000001,-0.2732,-0.7096,2,2009-01-07,2009-01-08,-0.31245
2009-01-16,63.948246002197266,62.55825424194336,-0.02173619836588081,-0.2023,-0.30345,-0.2023,-0.2023,1,2009-01-12,2009-01-12,-0.7371000000000001
