date,prob_up,actual_up,next_return,window
2016-10-31,0.7254349,0,4.69907068183506e-05,0
2016-11-01,0.5584077,0,-0.0072452938523491,0
2016-11-03,0.7952638,0,-0.0045772287463112,0
2016-11-04,0.75184953,1,-0.0011018590548362,0
2016-11-07,0.9078523,1,0.0220571669582148,0
2016-11-08,0.33536044,1,0.0045037540129453,0
2016-11-09,0.1674053,0,0.0106022140818511,0
2016-11-11,0.11254994,1,-0.0023048647281377,0
2016-11-17,0.31237215,1,0.0051406961310662,0
2016-11-21,0.20243894,1,0.0075515222737263,0
2016-11-22,0.1271563,1,0.0019532426188129,0
2016-11-23,0.18391283,0,0.0005442165749567,0
2016-11-28,0.5642796,0,-0.0046947480154868,0
2016-11-30,0.30731025,0,-0.0023991060365339,0
2016-12-01,0.32956648,1,-0.0036752517992652,0
2016-12-02,0.30403653,1,0.0005009116156668,0
2016-12-05,0.21371116,1,0.0060085736758781,0
2016-12-06,0.32344475,1,0.0031674306226712,0
2016-12-07,0.14757812,1,0.013080688992618,0
2016-12-08,0.57138276,1,0.0024491765756435,0
2016-12-13,0.60003465,0,0.0066739077170783,0
2016-12-14,0.6758156,0,-0.0082543059507388,0
2016-12-16,0.5553398,1,-0.0019555879218051,0
2016-12-19,0.51634467,0,0.0021773673120184,0
2016-12-21,0.2338848,0,-0.0027828440134894,0
2016-12-22,0.5273258,1,-0.0017271237827567,0
2016-12-27,0.34468743,0,0.0024809324786956,0
2016-12-30,0.36669853,1,-0.0036550932360918,0
2017-01-03,0.48421165,1,0.0076499779165035,0
2017-01-04,0.39252806,1,0.0059493432776689,0
2017-01-11,0.79269916,1,0.0028258730342136,0
2017-01-18,0.6454912,1,0.0022099179739218,0
2017-01-20,0.24152787,0,0.003674505279364,0
2017-01-23,0.6425539,1,-0.0026021941515076,0
2017-01-24,0.58869,1,0.0064116879962217,0
2017-01-25,0.45823586,0,0.0086553614211779,0
2017-01-26,0.5902776,0,-0.0010453465772477,0
2017-01-27,0.8838079,0,-0.0015698905911851,0
2017-01-31,0.77759564,1,-8.796274951317073e-05,0
2017-02-01,0.73989385,1,0.0003955968724214,0
2017-02-07,0.37965202,1,4.375463597638962e-05,0
2017-02-09,0.23558594,0,0.0059325404932359,0
2017-02-16,0.76060355,1,-0.0008512086654374,0
2017-02-17,0.4707954,0,0.0015762909784931,0
2017-02-22,0.93304646,1,-0.000887913563632,0
2017-02-23,0.637444,1,0.0006771067845892,0
2017-02-27,0.6583635,1,0.001563287071616,0
2017-03-01,0.17343657,0,0.0139973576598657,0
2017-03-06,0.6008614,0,-0.0029779138181333,0
2017-03-07,0.58771247,0,-0.0029866604212935,0
2017-03-08,0.49025878,1,-0.0018565350285109,0
2017-03-09,0.6129873,1,0.00126807244668,0
2017-03-13,0.43327507,0,0.0005045957770102,0
2017-03-14,0.2303012,0,-0.0038263431384423,0
2017-03-16,0.27307743,0,-0.0019672175032569,0
2017-03-17,0.19376649,0,-0.0017560718814139,0
2017-03-20,0.16673844,0,-0.0010967905478475,0
2017-03-21,0.08288469,1,-0.0128396224044741,0
2017-03-22,0.103514306,0,0.0023532370952812,0
2017-03-27,0.22019336,1,-0.0010261398176292,0
2017-03-29,0.092739515,0,0.0009350833827295,0
2017-04-03,0.15377218,1,-0.001739172902748,0
2017-04-04,0.24253963,0,0.0006374892292648,0
2017-04-05,0.13724951,1,-0.002972534317892,0
2017-04-06,0.5072124,0,0.0028111056260269,0
2017-04-07,0.3593309,1,-0.0010194763230005,0
2017-04-10,0.48887315,0,0.0005951402336372,0
2017-04-12,0.8353803,0,-0.0043818725193462,0
2017-04-13,0.18013376,0,-0.0064951600497153,0
2017-04-18,0.78468716,1,-0.0029840666282665,0
2017-04-20,0.15203841,1,0.0081389648021084,0
2017-04-24,0.5636079,1,0.0109980006483012,0
2017-04-25,0.34027022,0,0.0058186767787056,0
2017-04-26,0.6515522,0,-0.00062888417947,0
2017-04-28,0.5234475,1,-0.002179220719412,0
2017-05-02,0.24615738,0,0.0003772423598158,0
2017-05-03,0.22894916,0,-0.0012145466547425,0
2017-05-08,0.4062918,0,-0.0001669416788113,0
2017-05-09,0.61331475,1,-0.0009179309968206,0
2017-05-10,0.4759525,1,0.001795822802894,0
2017-05-15,0.49683338,0,0.0055234036290898,0
2017-05-16,0.60063505,0,-0.0009154134523982,0
2017-05-17,0.5857027,1,-0.0177439687290673,0
2017-05-18,0.46283236,1,0.004028448291341,0
2017-05-22,0.52864635,1,0.005077256874528,0
2017-05-23,0.49886492,1,0.0022127816245107,0
2017-05-24,0.25333056,0,0.0023329744254048,0
2017-05-30,0.68874884,0,-0.0008686668396279,0
2017-05-31,0.44123152,1,-0.0002487271660781,0
2017-06-01,0.78789383,1,0.0079522632302615,0
2017-06-02,0.49661624,0,0.0033285231099586,0
2017-06-05,0.6467544,1,-0.0007373055391574,0
2017-06-07,0.5883662,0,0.0018500715431499,0
2017-06-12,0.35773346,1,-0.0002055863268127,0
2017-06-13,0.78619677,0,0.0048899344152608,0
2017-06-15,0.7216516,0,-0.0019245113572247,0
2017-06-20,0.61628145,0,-0.0067441886946607,0
2017-06-21,0.5652344,0,-0.0002467703288343,0
2017-06-22,0.19389836,1,-0.0004526672788711,0
2017-06-23,0.47538447,1,0.0011939881563429,0
2017-06-26,0.4560525,0,0.0006582307236548,0
2017-06-27,0.8180739,0,-0.0080564656844431,0
2017-06-29,0.7147023,1,-0.0087890567037,0
2017-07-05,0.73613644,0,0.0023118748586934,0
2017-07-06,0.37958556,1,-0.0091444053776815,0
2017-07-10,0.21170141,1,0.0010737444525601,0
2017-07-12,0.5751287,1,0.0075145195203809,0
2017-07-20,0.5570126,0,0.0004455450849327,0
2017-07-31,0.5301689,1,-0.0005671256138807,0
2017-08-01,0.41545257,0,0.0022288646295667,0
2017-08-08,0.95334166,0,-0.0024611156373814,0
2017-08-09,0.92890084,0,-4.049187701260504e-05,0
2017-08-10,0.9338553,1,-0.0141151244059425,0
2017-08-14,0.94889325,1,0.0099131629097364,0
2017-08-16,0.48904595,0,0.001744541192306,0
2017-11-08,0.65913725,0,0.0017006717284926,1
2017-11-09,0.74815995,1,-0.0036276014666877,1
2017-11-13,0.26639217,0,0.0009299193147973,1
2017-11-14,0.9193886,0,-0.0023225713505401,1
2017-11-15,0.91605765,1,-0.005005196926227,1
2017-11-16,0.41870096,1,0.00850082219162,1
2017-11-20,0.9789913,1,0.0017062830645258,1
2017-11-21,0.8343758,0,0.0065427129368349,1
2017-11-29,0.92232597,0,-0.0006088926939006,1
2017-12-04,0.40381572,0,-0.0012102673227822,1
2017-12-05,0.7838447,1,-0.0035963693769872,1
2017-12-07,0.68798006,1,0.0031530650681921,1
2017-12-08,0.9802845,1,0.0054532303466072,1
2017-12-11,0.613655,0,0.0030128872876711,1
2017-12-19,0.9493216,0,-0.0038403324114607,1
2017-12-20,0.5099216,1,-0.000524105125823,1
2017-12-21,0.9885358,0,0.0020596260615095,1
2017-12-22,0.58465713,0,-0.0002614900189601,1
2017-12-26,0.9578553,1,-0.0011961835025268,1
2017-12-28,0.967394,0,0.0020572623495389,1
2017-12-29,0.9601506,1,-0.0037705433380492,1
2018-01-02,0.9698511,1,0.0071573114409431,1
2018-01-03,0.98282087,1,0.0063251950696059,1
2018-01-08,0.98415303,1,0.0018286568976899,1
2018-01-09,0.9796581,1,0.0022635717865149,1
2018-01-12,0.8298187,0,0.0065188541964573,1
2018-01-16,0.77062047,1,-0.003418283783487,1
2018-01-17,0.5942693,1,0.0095315288367863,1
2018-01-19,0.90551436,1,0.0045498761578015,1
2018-01-22,0.9595497,1,0.0081305770964472,1
2018-01-23,0.9807457,1,0.0021227353363508,1
2018-01-26,0.74701196,0,0.0115778931042056,1
2018-01-30,0.6004469,1,-0.0102574266082964,1
