period_end,first,last,period_return,compound_mean_wt,final_score_wt,compound_max,compound_min,headline_count,start_date,end_date,final_score_wt_lag1
2008-01-04,104.0849380493164,101.48509216308594,-0.024978118207637623,-0.0683,-0.11952499999999999,0.0,-0.2732,4,2008-01-02,2008-01-03,
2008-01-18,101.39897918701172,94.8420181274414,-0.06466496124657439,0.25865,0.387975,0.6597,-0.25,4,2008-01-07,2008-01-10,-0.11952499999999999
2008-02-01,93.87968444824219,100.24266052246094,0.06777798744867747,0.09665714285714287,0.1449857142857143,0.5994,0.0,7,2008-01-22,2008-02-01,0.387975
2008-02-15,98.9787368774414,97.05400085449219,-0.019445954592575698,-0.39893999999999996,-0.580095,0.0,-0.5859,5,2008-02-05,2008-02-11,0.1449857142857143
2008-02-29,97.32694244384766,96.10601806640625,-0.012544567277923191,-0.055420000000000004,-0.08313000000000001,0.5267,-0.4019,5,2008-02-21,2008-02-29,-0.580095
2008-03-14,95.87618255615234,93.08250427246094,-0.029138397141075356,-0.05353999999999999,-0.08030999999999999,0.5106,-0.7783,5,2008-03-05,2008-03-11,-0.08313000000000001
2008-03-28,92.14167022705078,94.91459655761719,0.030094161780804596,-0.46045,-0.690675,-0.296,-0.6249,2,2008-03-18,2008-03-27,-0.08030999999999999
2008-04-11,95.2466049194336,96.26425170898438,0.010684336627133195,0.02200000000000002,0.033,0.34,-0.296,2,2008-04-02,2008-04-07,-0.690675
2008-04-25,95.93946838378906,100.75340270996094,0.050176787585632265,-0.026566666666666666,-0.03985000000000002,0.4215,-0.6249,6,2008-04-16,2008-04-25,0.033
2008-05-09,100.77503204345703,100.24818420410156,-0.005227960028117651,0.02920000000000001,0.04380000000000001,0.3612,-0.296,4,2008-05-05,2008-05-08,-0.03985000000000002
2008-05-23,101.37407684326172,99.33881378173828,-0.02007676049834939,-0.021083333333333325,-0.028841666666666658,0.34,-0.296,6,2008-05-12,2008-05-23,0.04380000000000001
2008-06-06,100.07498931884766,98.364501953125,-0.017092056440524805,0.031016666666666692,0.04652499999999998,0.5719,-0.5719,6,2008-05-27,2008-06-05,-0.028841666666666658
2008-06-20,98.60264587402344,95.44013977050781,-0.03207323774613613,-0.08079999999999998,-0.1212,0.4767,-0.5267,4,2008-06-09,2008-06-20,0.04652499999999998
2008-07-04,95.34580993652344,91.61756134033203,-0.03910238529279353,0.0,0.0,0.3818,-0.3818,5,2008-06-24,2008-07-02,-0.1212
2008-07-18,90.68189239501953,91.3782730102539,0.007679378945918636,0.2394666666666667,0.3592,0.7184,0.0,3,2008-07-07,2008-07-14,0.0
2008-08-01,91.42900848388672,91.50875854492188,0.0008722621229040328,0.24235,0.36352500000000004,0.5106,0.0,4,2008-07-23,2008-08-01,0.3592
2008-08-15,90.66014099121094,94.41740417480469,0.04144338562144956,-0.021749999999999978,-0.03262499999999997,0.5106,-0.296,4,2008-08-04,2008-08-14,0.36352500000000004
2008-08-29,93.12629699707031,93.41643524169922,0.0031155350742446686,0.0036857142857142844,0.005528571428571423,0.34,-0.34,7,2008-08-19,2008-08-28,-0.03262499999999997
2008-09-12,92.83617401123047,91.45802307128906,-0.014844977775308688,-0.03330000000000001,-0.049950000000000036,0.4404,-0.5994,4,2008-09-03,2008-09-11,0.005528571428571423
2008-09-26,87.10600280761719,88.16460418701172,0.012153024421664327,0.0737857142857143,0.11067857142857142,0.7269,-0.3612,7,2008-09-15,2008-09-26,-0.049950000000000036
2008-10-10,81.25588989257812,64.56410217285156,-0.20542249604051388,-0.23358333333333334,-0.35223750000000004,0.0,-0.4939,6,2008-09-29,2008-10-07,0.11067857142857142
2008-10-24,73.9386215209961,63.49894332885742,-0.14119384399361778,-0.17565454545454545,-0.26348181818181815,0.3818,-0.6808,11,2008-10-13,2008-10-24,-0.35223750000000004
2008-11-07,61.244693756103516,68.47441101074219,0.11804642673910304,-0.04884444444444444,-0.08547777777777776,0.2732,-0.5423,9,2008-10-29,2008-11-07,-0.26348181818181815
2008-11-21,67.57706451416016,58.01283645629883,-0.1415306824382292,-0.01921666666666666,-0.02882499999999998,0.4767,-0.296,6,2008-11-10,2008-11-21,-0.08547777777777776
2008-12-05,62.032588958740234,64.14827728271484,0.03410607810326627,0.0777,0.11655000000000004,0.7184,-0.6808,6,2008-11-24,2008-12-04,-0.02882499999999998
2008-12-19,66.38793182373047,64.86019134521484,-0.023012322218019965,-0.45866000000000007,-0.6879900000000001,0.0,-0.6249,5,2008-12-09,2008-12-18,0.11655000000000004
2009-01-02,64.02912139892578,68.36832427978516,0.06776920854222701,-0.05575000000000001,-0.083625,0.4019,-0.6249,4,2008-12-24,2008-12-31,-0.6879900000000001
2009-01-16,68.28743743896484,62.55825424194336,-0.08389805521904692,-0.39503333333333335,-0.59255,-0.2023,-0.7096,3,2009-01-07,2009-01-12,-0.083625
2009-01-30,59.25600814819336,60.91813659667969,0.02804995645892161,0.035128571428571426,0.052692857142857145,0.4754,-0.1779,7,2009-01-20,2009-01-30,-0.59255
2009-02-13,60.734291076660156,60.86664962768555,0.002179305112137042,-0.148,-0.222,0.0,-0.296,2,2009-02-02,2009-02-09,0.052692857142857145
2009-02-27,58.26313781738281,54.37255096435547,-0.06677612979276559,0.08082,0.12123000000000002,0.4404,-0.4767,5,2009-02-17,2009-02-25,-0.222
2009-03-13,51.9234619140625,55.9611701965332,0.07776269404288638,0.003250000000000003,0.004875,0.4404,-0.3182,6,2009-03-02,2009-03-13,0.12123000000000002
