period_end,first,last,period_return,compound_mean_wt,final_score_wt,compound_max,compound_min,headline_count,start_date,end_date,final_score_wt_lag1
2008-01-31,104.0849380493164,98.655517578125,-0.052163363623456194,0.0972,0.1409214285714286,0.6597,-0.2732,14,2008-01-02,2008-01-30,
2008-02-29,100.24266052246094,96.10601806640625,-0.04126628757152562,-0.19950909090909089,-0.29093863636363637,0.5267,-0.5859,11,2008-02-01,2008-02-29,0.1409214285714286
2008-03-31,95.87618255615234,95.2466049194336,-0.006566569714538062,-0.16979999999999998,-0.25470000000000004,0.5106,-0.7783,7,2008-03-05,2008-03-27,-0.29093863636363637
2008-04-30,98.59545135498047,99.7862548828125,0.012077672057554611,-0.014424999999999993,-0.021637500000000004,0.4215,-0.6249,8,2008-04-02,2008-04-25,-0.25470000000000004
2008-05-31,101.85045623779297,101.29469299316406,-0.0054566593529178364,-0.04846666666666666,-0.07130833333333332,0.3612,-0.5719,12,2008-05-05,2008-05-29,-0.021637500000000004
2008-06-30,100.24818420410156,92.82892608642578,-0.07400890277045269,0.043480000000000005,0.06522000000000001,0.5719,-0.5267,10,2008-06-02,2008-06-24,-0.07130833333333332
2008-07-31,93.11904907226562,91.99479675292969,-0.01207327964081173,0.13655555555555557,0.20483333333333334,0.7184,-0.3818,9,2008-07-01,2008-07-31,0.06522000000000001
2008-08-31,91.50875854492188,93.41643524169922,0.020846930142111697,0.03313333333333334,0.04970000000000002,0.5106,-0.34,12,2008-08-01,2008-08-28,0.20483333333333334
2008-09-30,92.83617401123047,84.61907196044922,-0.08851185583959131,-0.05321428571428572,-0.08061964285714288,0.7269,-0.5994,14,2008-09-03,2008-09-29,0.04970000000000002
2008-10-31,84.6701431274414,70.64115905761719,-0.1656898589235697,-0.12972941176470587,-0.1945941176470588,0.3818,-0.6808,17,2008-10-01,2008-10-30,-0.08061964285714288
2008-11-30,70.84539031982422,65.72404479980469,-0.0722890437458209,0.02612857142857144,0.031342857142857165,0.7184,-0.5423,14,2008-11-03,2008-11-26,-0.1945941176470588
2008-12-31,59.9023323059082,66.36793518066406,0.10793574516827542,-0.22852307692307697,-0.34278461538461547,0.4019,-0.6808,13,2008-12-01,2008-12-31,0.031342857142857165
2009-01-31,68.36832427978516,60.91813659667969,-0.10897133667657122,-0.09392,-0.14088,0.4754,-0.7096,10,2009-01-07,2009-01-30,-0.34278461538461547
2009-02-28,60.734291076660156,54.37255096435547,-0.10474708767530949,0.015442857142857138,0.0231642857142857,0.4404,-0.4767,7,2009-02-02,2009-02-25,-0.14088
2009-03-31,51.9234619140625,58.902374267578125,0.13440768577923956,-0.014149999999999996,-0.021224999999999994,0.4404,-0.4939,8,2009-03-02,2009-03-26,0.0231642857142857
2009-04-30,60.043087005615234,64.75407409667969,0.07846010799917535,-0.27604285714285715,-0.4140642857142857,0.0,-0.5574,7,2009-04-06,2009-04-30,-0.021224999999999994
2009-05-31,65.10221099853516,68.53919219970703,0.05279361712076436,0.085,0.1275,0.34,0.0,4,2009-05-07,2009-05-29,-0.4140642857142857
2009-06-30,70.19837951660156,68.4942855834961,-0.02427540272069184,0.023539999999999995,0.02680999999999999,0.4939,-0.34,10,2009-06-01,2009-06-24,0.1275
2009-07-31,68.77735137939453,73.6043701171875,0.0701832600555643,0.1425857142857143,0.21387857142857142,0.6369,0.0,7,2009-07-01,2009-07-31,0.02680999999999999
2009-08-31,74.81855773925781,76.32328796386719,0.020111724551726162,0.024157142857142856,0.036235714285714274,0.2732,-0.2732,7,2009-08-05,2009-08-31,0.21387857142857142
2009-09-30,74.63982391357422,79.02949523925781,0.05881138372950101,-0.0775,-0.11625000000000002,0.5256,-0.6249,17,2009-09-01,2009-09-30,0.036235714285714274
2009-10-31,77.06854248046875,77.51012420654297,0.005729727225425751,-0.0977272727272727,-0.14659090909090908,0.4939,-0.6697,11,2009-10-01,2009-10-30,-0.11625000000000002
2009-11-30,78.07892608642578,82.2852783203125,0.053873080032257326,0.005283333333333334,-0.0023645833333333457,0.8316,-0.4939,12,2009-11-05,2009-11-27,-0.14659090909090908
2009-12-31,83.30319213867188,83.85700225830078,0.0066481260250748075,0.17016923076923074,0.2548153846153846,0.6808,-0.3875,13,2009-12-03,2009-12-30,-0.0023645833333333457
2010-01-31,85.27920532226562,80.80943298339844,-0.05241339107202225,0.011525000000000007,0.02524166666666666,0.4767,-0.5423,12,2010-01-05,2010-01-28,0.2548153846153846
2010-02-28,82.06608581542969,83.33025360107422,0.015404265636449477,0.13108,0.19662000000000002,0.743,-0.4588,10,2010-02-02,2010-02-26,0.02524166666666666
2010-03-31,84.19566345214844,88.40339660644531,0.049975651735178594,-0.06346363636363637,-0.09519545454545457,0.3612,-0.6249,11,2010-03-01,2010-03-24,0.19662000000000002
2010-04-30,89.00782012939453,89.77098846435547,0.008574171728410906,0.031205555555555566,0.04115555555555555,0.6369,-0.8555,18,2010-04-01,2010-04-30,-0.09519545454545457
2010-05-31,90.93463134765625,82.63827514648438,-0.09123428641233178,0.01433846153846153,0.03163653846153844,0.5267,-0.5423,13,2010-05-04,2010-05-26,0.04115555555555555
2010-06-30,81.24798583984375,78.36249542236328,-0.035514608610339615,0.020895454545454537,0.03214659090909089,0.5574,-0.6486,22,2010-06-01,2010-06-30,0.03163653846153844
2010-07-31,78.01324462890625,83.71471405029297,0.07308335204499561,-0.07520714285714288,-0.08715357142857148,0.7184,-0.7003,14,2010-07-06,2010-07-30,0.03214659090909089
